"customer_id","explanation"
"SYNID0100000167","Risk decreased by: income, total_amount, num_eft."
"SYNID0100000431","Risk decreased by: num_abm, num_westernunion, num_eft."
"SYNID0100000485","Risk decreased by: total_amount, num_eft, num_wire."
"SYNID0100000539","Risk decreased by: total_amount, num_transactions, num_card."
"SYNID0100000932","Risk decreased by: max_amount, std_amount, num_transactions."
"SYNID0100001185","Risk decreased by: total_amount, num_wire, num_cheque."
"SYNID0100001300","Risk decreased by: num_transactions, num_emt, num_card."
"SYNID0100001310","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100001952","Risk decreased by: income, num_eft, num_emt."
"SYNID0100002045","Risk decreased by: num_transactions, total_amount, num_wire."
"SYNID0100002163","Risk decreased by: max_amount, num_cheque, num_transactions."
"SYNID0100002187","Risk decreased by: total_amount, num_eft, num_abm."
"SYNID0100002198","Risk decreased by: num_eft, max_amount, std_amount."
"SYNID0100002385","Risk decreased by: num_eft, num_wire, num_debit."
"SYNID0100002875","Risk decreased by: num_eft, max_amount, std_amount."
"SYNID0100003249","Risk decreased by: total_amount, num_wire, num_abm."
"SYNID0100003319","Risk decreased by: total_amount, num_transactions, num_wire."
"SYNID0100003755","Risk decreased by: total_amount, num_abm, num_wire."
"SYNID0100004490","Risk decreased by: total_amount, num_cheque, num_wire."
"SYNID0100004580","Risk decreased by: num_eft, max_amount, num_abm."
"SYNID0100004593","Risk decreased by: num_transactions, num_cheque, num_emt."
"SYNID0100004629","Risk decreased by: total_amount, num_emt, num_wire."
"SYNID0100004657","Risk decreased by: num_eft, num_wire, avg_amount."
"SYNID0100004837","Risk decreased by: num_emt, num_wire, num_transactions."
"SYNID0100004848","Risk decreased by: total_amount, num_transactions, num_wire."
"SYNID0100005297","Risk decreased by: num_transactions, max_amount, num_card."
"SYNID0100005641","Risk decreased by: income, num_eft, num_wire."
"SYNID0100005686","Risk decreased by: total_amount, num_wire, num_abm."
"SYNID0100005856","Risk decreased by: num_eft, num_cheque, max_amount."
"SYNID0100006219","Risk decreased by: total_amount, num_transactions, num_wire."
"SYNID0100006667","Risk decreased by: num_eft, max_amount, std_amount."
"SYNID0100006800","Risk decreased by: num_transactions, num_eft, num_card."
"SYNID0100006895","Risk increased by: total_amount, income, num_cheque."
"SYNID0100007436","Risk decreased by: num_eft, num_wire, avg_amount."
"SYNID0100007570","Risk decreased by: num_transactions, num_cheque, num_eft."
"SYNID0100007620","Risk decreased by: max_amount, num_cheque, num_eft."
"SYNID0100007638","Risk decreased by: total_amount, num_wire, avg_amount."
"SYNID0100008358","Risk decreased by: total_amount, num_emt, num_wire."
"SYNID0100008611","Risk decreased by: income, num_transactions, num_eft."
"SYNID0100008961","Risk decreased by: max_amount, num_eft, num_emt."
