transaction_id,customer_id,amount_cad,debit_credit,transaction_datetime
2411018567515752,SYNID0106350653,3070.13,C,2024-11-01
2411011617097052,SYNID0104386115,630.08,C,2024-11-01
2411017551414972,SYNID0200341758,21353.7,C,2024-11-01
2411011591775144,SYNID0107845453,1015.64,C,2024-11-01
2411015685130952,SYNID0108075156,128943.27,C,2024-11-01
2411010870861443,SYNID0102254735,10801.01,D,2024-11-01
2411010081105643,SYNID0103330738,623.32,C,2024-11-01
2411018899009688,SYNID0101802172,4278.72,C,2024-11-01
2411017728093204,SYNID0200837172,3481.41,C,2024-11-01
2411014462366878,SYNID0106101315,1988.12,C,2024-11-01
2411012515455430,SYNID0101166952,586.08,C,2024-11-01
2411011609952843,SYNID0101587708,931.61,C,2024-11-01
2411012118575360,SYNID0200865017,37694.87,C,2024-11-01
2411018916633218,SYNID0104018422,11859.22,C,2024-11-01
2411011056268430,SYNID0200640444,3873.34,C,2024-11-01
2411012749202920,SYNID0101361349,9822.61,C,2024-11-01
2411011774031591,SYNID0101834113,3534.77,C,2024-11-01
2411016098793780,SYNID0108968418,21612.03,C,2024-11-01
2411010017124665,SYNID0200408952,165777.13,C,2024-11-01
2411019137116224,SYNID0108813794,1746.92,C,2024-11-01
2411016702613342,SYNID0108700402,7243.06,C,2024-11-01
2411010868427090,SYNID0107300785,204654.41,D,2024-11-01
2411016909570096,SYNID0106936097,2000.36,C,2024-11-01
2411010939811826,SYNID0200642008,3217.69,C,2024-11-01
2411015038336226,SYNID0103180351,3158.26,C,2024-11-01
2411010684997946,SYNID0200367458,1837.93,D,2024-11-01
2411018573493839,SYNID0109815622,10769.7,D,2024-11-01
2411016825164305,SYNID0103238729,530.09,C,2024-11-01
2411012257581702,SYNID0101723863,105925.51,D,2024-11-01
2411016220090818,SYNID0106510716,6358.45,C,2024-11-01
2411011281649564,SYNID0200791764,204243.54,D,2024-11-01
2411018803360010,SYNID0105968755,193.17,C,2024-11-01
2411017559943361,SYNID0200071039,734634.28,C,2024-11-01
2411013526079262,SYNID0200037052,2400.53,C,2024-11-01
2411014793084772,SYNID0107178848,2351.71,C,2024-11-01
2411010395193213,SYNID0109463921,10614.67,D,2024-11-01
2411017485512842,SYNID0103850995,8422.77,C,2024-11-01
2411014764699142,SYNID0104560838,6221.12,D,2024-11-01
2411018137350615,SYNID0200868532,167308.09,C,2024-11-01
2411016106556707,SYNID0200973678,64595.21,C,2024-11-01
2411013414578224,SYNID0101015477,1940.64,C,2024-11-01
2411015584775227,SYNID0108005562,375.01,C,2024-11-01
2411014233785562,SYNID0200617351,12106.9,D,2024-11-01
2411017821446260,SYNID0100315248,6462.21,C,2024-11-01
2411010916669540,SYNID0103549252,3809.51,C,2024-11-01
2411014060126327,SYNID0102490473,2510.6,C,2024-11-01
2411015874153452,SYNID0101300451,995.94,C,2024-11-01
2411016813186386,SYNID0108973869,127348.78,C,2024-11-01
2411012294179712,SYNID0109141463,8234.79,C,2024-11-01
2411018371505439,SYNID0106093122,2032.33,C,2024-11-01
2411019570030721,SYNID0200639063,1396.84,D,2024-11-01
2411011472170693,SYNID0200223705,29588.58,C,2024-11-01
2411017488608804,SYNID0109285624,1782.17,C,2024-11-01
2411016545279512,SYNID0200639063,3929.11,C,2024-11-01
2411018910234214,SYNID0101401795,7425.25,C,2024-11-01
2411012452385833,SYNID0102628258,196.25,C,2024-11-01
2411010300467105,SYNID0107809895,3422.62,C,2024-11-01
2411012381244733,SYNID0108827434,540.26,D,2024-11-01
2411017145546487,SYNID0200917657,568.99,D,2024-11-01
2411015562578985,SYNID0103744932,21797.3,C,2024-11-01
2411016196796030,SYNID0200552733,4722.25,C,2024-11-01
2411016973726508,SYNID0104350648,579.16,C,2024-11-01
2411012728996440,SYNID0200494373,41391.25,D,2024-11-01
2411018671477670,SYNID0200917657,900.29,D,2024-11-01
2411012220901693,SYNID0104815038,10696.85,D,2024-11-01
2411017043920279,SYNID0108487236,12037.45,C,2024-11-01
2411016065564336,SYNID0200552733,1079.52,C,2024-11-01
2411014133313151,SYNID0200552733,39160.3,D,2024-11-01
2411010243541485,SYNID0101690663,10842.98,C,2024-11-01
2411010640755092,SYNID0200903625,2978.47,C,2024-11-01
2411011481604549,SYNID0100566958,11487.63,C,2024-11-01
2411018756772717,SYNID0104337954,836.13,C,2024-11-01
2411012094059666,SYNID0200642224,37891.33,C,2024-11-01
2411010493153320,SYNID0108586460,10552.2,C,2024-11-01
2411019134072096,SYNID0200917657,1105.14,D,2024-11-01
2411012685698397,SYNID0104058868,535.79,D,2024-11-01
2411013194829347,SYNID0109058371,7105.52,C,2024-11-01
2411012265069420,SYNID0101947421,10251.95,D,2024-11-01
2411016487853286,SYNID0101214410,4245.02,C,2024-11-01
2411011234223014,SYNID0200389404,8717.45,D,2024-11-01
2411013684212728,SYNID0109886602,504.58,C,2024-11-01
2411015426684732,SYNID0100020773,7519.26,C,2024-11-01
2411012908628888,SYNID0107241809,2891.25,C,2024-11-01
2411011516361227,SYNID0105635317,26055.33,C,2024-11-01
2411012888624352,SYNID0106476572,1421.98,C,2024-11-01
2411013661253814,SYNID0107340625,66215.56,C,2024-11-01
2411014443076256,SYNID0200903625,9207.03,D,2024-11-01
2411019981688458,SYNID0200917657,1159.67,D,2024-11-01
2411017268554263,SYNID0101808383,10792.96,D,2024-11-01
2411025232058731,SYNID0200917657,3201.4,D,2024-11-02
2411025841388428,SYNID0103685090,3958.97,C,2024-11-02
2411029934668950,SYNID0108687525,71815.75,D,2024-11-02
2411022475707163,SYNID0200917657,3607.91,D,2024-11-02
2411029457417831,SYNID0102287707,26.29,C,2024-11-02
2411023678927856,SYNID0200965810,6252.83,C,2024-11-02
2411024802558846,SYNID0107139203,181.37,C,2024-11-02
2411024627779724,SYNID0100511082,10947.43,C,2024-11-02
2411028606671540,SYNID0200917657,6133.41,D,2024-11-02
2411026383327565,SYNID0100458116,580.36,C,2024-11-02
2411025470460203,SYNID0200170062,42403.19,C,2024-11-02
2411024222297635,SYNID0200974843,14158.13,D,2024-11-02
2411022167773246,SYNID0109616092,729.51,C,2024-11-02
2411021211464114,SYNID0105212119,2757.56,C,2024-11-02
2411020500318886,SYNID0200538437,11716.89,D,2024-11-02
2411023177344690,SYNID0200490486,46794.37,D,2024-11-02
2411027691926408,SYNID0200362585,234.22,C,2024-11-02
2411028346246412,SYNID0200840878,130244.12,C,2024-11-02
2411028874899376,SYNID0200970806,132530.51,C,2024-11-02
2411029433027356,SYNID0107386057,8408.81,C,2024-11-02
2411025017162639,SYNID0200223705,8951.03,D,2024-11-02
2411028064690263,SYNID0200917657,6454.28,D,2024-11-02
2411028651359026,SYNID0103912349,142.33,C,2024-11-02
2411020481237421,SYNID0200917657,1082.33,D,2024-11-02
2411023760539570,SYNID0200119386,24659.32,D,2024-11-02
2411020375918520,SYNID0200521470,10524.74,C,2024-11-02
2411028985087697,SYNID0200521470,1423.86,D,2024-11-02
2411022176877301,SYNID0200903625,21227.56,D,2024-11-02
2411021398867614,SYNID0200119386,10545.36,C,2024-11-02
2411024643974416,SYNID0107009468,23789.52,D,2024-11-02
2411027778086558,SYNID0106611019,762.28,C,2024-11-02
2411029279439992,SYNID0200917657,2154.3,D,2024-11-02
2411027579267568,SYNID0200047088,20465.58,D,2024-11-02
2411020792802087,SYNID0200127739,10666.66,C,2024-11-02
2411020954659587,SYNID0100146469,452.59,C,2024-11-02
2411028519984854,SYNID0103513497,883.82,C,2024-11-02
2411027875153617,SYNID0200908516,20730.2,D,2024-11-02
2411022706970501,SYNID0108809676,4257.78,C,2024-11-02
2411023607589991,SYNID0200494373,2471.19,C,2024-11-02
2411020953413677,SYNID0104721648,1588.13,C,2024-11-02
2411022362601849,SYNID0109818189,575.98,C,2024-11-02
2411022367477072,SYNID0105266527,59114.57,D,2024-11-02
2411022915460360,SYNID0102328703,892.6,C,2024-11-02
2411021919783099,SYNID0101084628,726.77,C,2024-11-02
2411029789584335,SYNID0101353427,919.82,C,2024-11-02
2411027995649208,SYNID0100236234,4813.28,C,2024-11-02
2411023600943521,SYNID0107151813,5214.47,C,2024-11-02
2411023894998542,SYNID0200117193,2451.91,C,2024-11-02
